Dilution,1.5,SIK,21-02-2020,9:02,NA,NA
S.100 Plate,Source Plate 1,NA,MWP 96,200221-EXT00004-Flex library prep,NA,Eppi
DispenseToWaste=True,DispenseToWasteCycles=3,DispenseToWasteVolume=5e-8,UseDeionization=True,OptimizationLevel=ReorderAndParallel,WasteErrorHandling=Ask,NA
Source Well,Target Well,volume [µL],Liqued Name,NA,NA,NA
E12,H5,1.44,H2O,NA,NA,NA
G12,A6,1.47,H2O,NA,NA,NA
H12,B6,1.41,H2O,NA,NA,NA
E12,C6,1.47,H2O,NA,NA,NA
G12,D6,1.42,H2O,NA,NA,NA
H12,E6,1.28,H2O,NA,NA,NA
E12,F6,1.39,H2O,NA,NA,NA
G12,G6,1.48,H2O,NA,NA,NA
H12,H6,1.48,H2O,NA,NA,NA
E12,A7,1.47,H2O,NA,NA,NA
G12,B7,1.48,H2O,NA,NA,NA
H12,C7,1.41,H2O,NA,NA,NA
E12,D7,1.36,H2O,NA,NA,NA
G12,E7,1.26,H2O,NA,NA,NA
H12,F7,1.45,H2O,NA,NA,NA
E12,G7,1.48,H2O,NA,NA,NA
G12,H7,1.19,H2O,NA,NA,NA
H12,A8,1.47,H2O,NA,NA,NA
E12,B8,1.47,H2O,NA,NA,NA
G12,C8,1.10,H2O,NA,NA,NA
H12,D8,1.42,H2O,NA,NA,NA
E12,E8,1.46,H2O,NA,NA,NA
G12,F8,1.48,H2O,NA,NA,NA
H12,G8,1.46,H2O,NA,NA,NA
E12,H8,1.29,H2O,NA,NA,NA
G12,A9,1.46,H2O,NA,NA,NA
H12,B9,1.46,H2O,NA,NA,NA
E12,C9,1.29,H2O,NA,NA,NA
G12,D9,1.48,H2O,NA,NA,NA
E12,F9,1.38,H2O,NA,NA,NA
G12,G9,1.47,H2O,NA,NA,NA
H12,H9,1.47,H2O,NA,NA,NA
E12,A10,1.48,H2O,NA,NA,NA
G12,B10,1.44,H2O,NA,NA,NA
E12,D10,1.48,H2O,NA,NA,NA
G12,E10,1.48,H2O,NA,NA,NA
E12,G10,1.44,H2O,NA,NA,NA
G12,H10,1.43,H2O,NA,NA,NA
H12,A11,1.46,H2O,NA,NA,NA
E12,B11,1.49,H2O,NA,NA,NA
G12,C11,1.48,H2O,NA,NA,NA
H12,D11,1.48,H2O,NA,NA,NA
E12,E11,1.36,H2O,NA,NA,NA
G12,F11,1.48,H2O,NA,NA,NA
H12,G11,1.20,H2O,NA,NA,NA
E12,H11,1.32,H2O,NA,NA,NA
G12,A12,1.48,H2O,NA,NA,NA
H12,B12,1.46,H2O,NA,NA,NA
E12,C12,1.47,H2O,NA,NA,NA
G12,D12,1.05,H2O,NA,NA,NA
H12,F12,1.10,H2O,NA,NA,NA
